Name,Address,City,State,Zip Code,Longitude,Latitude,Average Rating on Yelp,Average Rating on Google
Clean City Super Laundromat,3306 3rd Ave,The Bronx,NY,10456,-73.92687,40.806587,2,4.5
DM Laundromat,4825 White Plains Rd,The Bronx,NY,10470,-73.90387,40.81857,N/A,4.5
Giant Laundromat Inc,2429 Arthur Ave,The Bronx,NY,10458,-73.794586,40.733376,N/A,4
Super Laundromat,675 Morris Ave,The Bronx,NY,10451,-73.85997,40.75786,3,3.5
Wonder Wash,791 Westchester Ave,The Bronx,NY,10455,-74.13226,40.56393,3.5,4
Westchester Ave Wash & Dry,980 E 233rd St,The Bronx,NY,10466,-73.99021,40.759113,2.5,4
Good Neighbor Super Laundromat,3211 White Plains Rd,The Bronx,NY,10467,-73.99007,40.72012,N/A,4
Great American Laundromat,1925 University Ave,The Bronx,NY,10453,-74.12077,40.63426,4.5,4
1925 Laundromat,3492 E Tremont Ave,The Bronx,NY,10465,-73.99011,40.763985,N/A,4
ET Laundry,1203 Castle Hill Ave,The Bronx,NY,10462,-73.96348,40.64164,4,3.5
J & G Laundromat,302 Rider Ave,The Bronx,NY,10451,-73.926776,40.812958,5,5
Clean Rite Center 24 HOURS,1452 Westchester Ave,The Bronx,NY,10472,-73.882219,40.828046,5,4
Clean Rite Center 24 HOURS,5902 Main St,Flushing,NY,11355,-73.825909,40.743806,2.5,4.5
Friendly Clean Laundromat,64-24 Roosevelt Ave,Woodside,NY,11377,-73.899291,40.74584,1,1.5
Lin High Speed Laundry,50-18 39th Ave,Flushing,NY,11377,-73.913111,40.748646,3.5,3.5
LAUNDROMAT,21-39 45th Rd,Long Island City,NY,11101,-73.946326,40.746586,N/A,5
Express 1 Laundromat,5-0-5-50 Grandview Ave,Ridgewood,NY,11385,-73.907155,40.709328,4,4.5
Laundromat,118-12 Liberty Ave,South Richmond Hill,NY,11419,-73.824521,40.685949,N/A,4.5
Laundromat,68-18 Fresh Meadow Ln,Fresh Meadows,NY,11365,-73.79474,40.733106,N/A,3
Fresh Scent Laundromat,166-18 Hillside Avenue,Jamaica,NY,11432,-73.795654,40.709565,3.5,4.5
Laundromat,102-2 159th Rd,Howard Beach,NY,11414,-73.831367,40.660269,N/A,4
Laundromat,46 47th St,Long Island City,NY,11104,-73.914582,40.755343,N/A,4.5
Laundromat,104-38 Jamaica Ave,Richmond Hill,NY,11418,-73.842096,40.694996,N/A,N/A
108 Jamaica Laundromat,9525 Queens Blvd # 1001,Flushing,NY,11374,-73.863156,40.730844,5,4
Clean Rite Center,114-11 116th St,South Ozone Park,NY,11420,-73.826901,40.685666,N/A,N/A
Laundromat,11041 Sutphin Blvd,Jamaica,NY,11435,-73.795642,40.689213,N/A,1
Laundromat,33-12 101st St,Corona,NY,11368,-73.841881,40.686306,N/A,N/A
Laundromat pick up,109-10 Northern Blvd,Corona,NY,11368,-73.860068,40.75765,5,4.5
Express 1 Laundromat,192-19 47th Ave,Flushing,NY,11358,-73.788145,40.752085,N/A,5
Laundromat,4815 31st Ave,Astoria,NY,11103,-73.909988,40.758254,N/A,4.5
Best Today's Laundromat 24 HOURS,189-03 Union Tpke,Fresh Meadows,NY,11366,-73.780152,40.729741,3.5,3.5
Wash & Go Laundry & Cleaners,136-8 Booth Memorial Ave,Flushing,NY,11355,-73.828796,40.747128,4.5,5
